  0.00s  INFO Bundling project...
 15.23s  INFO Compiled [195/208]: wgpu_hal
 15.65s  INFO Compiled [196/208]: egui_winit
 15.88s  INFO Compiled [197/208]: epaint
 16.06s  INFO Compiled [198/208]: skrifa
 16.11s  INFO Compiled [199/208]: moxcms
 16.67s  INFO Compiled [200/208]: harfrust
 18.13s  INFO Compiled [201/208]: naga
 19.03s  INFO Compiled [202/208]: image
 20.18s  INFO Compiled [203/208]: egui
 20.37s  INFO Compiled [204/208]: egui_wgpu
 20.64s  INFO Compiled [205/208]: wgpu
 21.81s  INFO Compiled [206/208]: eframe
 21.89s  INFO Compiled [207/208]: wgpu_core
 22.35s  INFO Compiled [208/208]: egui-app
 22.35s  INFO Bundling app...
 22.37s  INFO Running package bundler...
 22.37s  INFO Creating macOS .app bundle at /Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/egui-app/target/dx/egui-app/bundle/macos/macos/EguiApp.app
 22.37s  INFO Copying existing .icns file: /Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/egui-app/icon.icns
 22.38s  INFO Creating DMG at /Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/egui-app/target/dx/egui-app/bundle/macos/macos/EguiApp_0.1.0_aarch64.dmg
created: /Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/egui-app/target/dx/egui-app/bundle/macos/macos/EguiApp_0.1.0_aarch64.dmg
 27.41s  INFO DMG created at /Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/egui-app/target/dx/egui-app/bundle/macos/macos/EguiApp_0.1.0_aarch64.dmg
 27.42s  INFO Bundled: /Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/egui-app/target/dx/egui-app/bundle/macos/macos/EguiApp.app
 27.42s  INFO Bundled: /Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/egui-app/target/dx/egui-app/bundle/macos/macos/EguiApp_0.1.0_aarch64.dmg
Bundled 2 bundles:
/Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/egui-app/target/dx/egui-app/bundle/macos/macos/EguiApp.app
/Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/egui-app/target/dx/egui-app/bundle/macos/macos/EguiApp_0.1.0_aarch64.dmg
real 27.43
user 215.35
sys 9.09
