  0.00s  INFO Bundling project...
 10.91s  INFO Compiled [196/389]: icu_provider
 11.11s  INFO Compiled [197/389]: serde_core
 11.19s  INFO Compiled [199/389]: getrandom
 11.32s  INFO Compiled [200/389]: rand_core
 11.43s  INFO Compiled [201/389]: foreign_types
 11.46s  INFO Compiled [202/389]: ppv_lite86
 11.49s  INFO Compiled [203/389]: idna_adapter
 11.56s  INFO Compiled [204/389]: rustix
 11.60s  INFO Compiled [205/389]: enumset_derive
 11.62s  INFO Compiled [206/389]: icu_normalizer
 11.65s  INFO Compiled [208/389]: block_buffer
 11.67s  INFO Compiled [209/389]: crypto_common
 11.78s  INFO Compiled [210/389]: form_urlencoded
 11.90s  INFO Compiled [211/389]: profiling_procmacros
 11.90s  INFO Compiled [212/389]: security_framework_sys
 11.94s  INFO Compiled [213/389]: icu_locale_core
 11.94s  INFO Compiled [214/389]: no_std_io2
 11.95s  INFO Compiled [215/389]: icu_properties
 11.95s  INFO Compiled [216/389]: dioxus_rsx
 12.00s  INFO Compiled [217/389]: serde_json
 12.04s  INFO Compiled [218/389]: arg_enum_proc_macro
 12.05s  INFO Compiled [219/389]: dpi
 12.06s  INFO Compiled [220/389]: quick_error
 12.13s  INFO Compiled [221/389]: y4m
 12.13s  INFO Compiled [222/389]: fastrand
 12.13s  INFO Compiled [223/389]: num_conv
 12.14s  INFO Compiled [224/389]: time_core
 12.18s  INFO Compiled [225/389]: crossbeam_channel
 12.20s  INFO Compiled [226/389]: build-script-build
 12.25s  INFO Compiled [227/389]: pastey
 12.38s  INFO Compiled [228/389]: build-script-build
 12.56s  INFO Compiled [230/389]: bitstream_io
 12.68s  INFO Compiled [231/389]: objc2_app_kit
 12.80s  INFO Compiled [232/389]: tempfile
 12.90s  INFO Compiled [233/389]: http
 12.93s  INFO Compiled [234/389]: digest
 12.97s  INFO Compiled [235/389]: time_macros
 13.02s  INFO Compiled [236/389]: dioxus_core_macro
 13.24s  INFO Compiled [238/389]: serde
 13.32s  INFO Compiled [239/389]: profiling
 13.33s  INFO Compiled [240/389]: paste
 13.35s  INFO Compiled [241/389]: idna
 13.37s  INFO Compiled [242/389]: maybe_rayon
 13.65s  INFO Compiled [243/389]: av_scenechange
 13.67s  INFO Compiled [244/389]: half
 13.72s  INFO Compiled [245/389]: dioxus_hooks
 13.83s  INFO Compiled [246/389]: enumset
 13.89s  INFO Compiled [248/389]: dioxus_html_internal_macro
 14.03s  INFO Compiled [249/389]: serde_repr
 14.05s  INFO Compiled [250/389]: euclid
 14.05s  INFO Compiled [251/389]: nom
 14.09s  INFO Compiled [252/389]: cpufeatures
 14.11s  INFO Compiled [253/389]: malloc_buf
 14.21s  INFO Compiled [254/389]: const_serialize
 14.26s  INFO Compiled [255/389]: imgref
 14.28s  INFO Compiled [256/389]: simd_helpers
 14.28s  INFO Compiled [257/389]: build-script-build
 14.30s  INFO Compiled [258/389]: debug_unreachable
 14.37s  INFO Compiled [259/389]: num_derive
 14.38s  INFO Compiled [260/389]: itertools
 14.41s  INFO Compiled [261/389]: time_core
 14.43s  INFO Compiled [262/389]: fnv
 14.48s  INFO Compiled [263/389]: noop_proc_macro
 14.51s  INFO Compiled [264/389]: rand_chacha
 14.53s  INFO Compiled [265/389]: async_trait
 14.53s  INFO Compiled [266/389]: num_conv
 14.56s  INFO Compiled [267/389]: powerfmt
 14.57s  INFO Compiled [268/389]: option_ext
 14.57s  INFO Compiled [269/389]: zune_core
 14.61s  INFO Compiled [270/389]: bitflags
 14.65s  INFO Compiled [271/389]: dirs_sys
 14.65s  INFO Compiled [272/389]: raw_window_handle
 14.69s  INFO Compiled [273/389]: byteorder
 14.73s  INFO Compiled [274/389]: url
 14.96s  INFO Compiled [275/389]: uuid
 14.98s  INFO Compiled [276/389]: deranged
 15.23s  INFO Compiled [277/389]: security_framework
 15.39s  INFO Compiled [278/389]: dioxus_core
 15.39s  INFO Compiled [279/389]: weezl
 15.44s  INFO Compiled [280/389]: loop9
 15.70s  INFO Compiled [282/389]: objc
 15.72s  INFO Compiled [283/389]: zune_jpeg
 15.83s  INFO Compiled [284/389]: sha1
 15.84s  INFO Compiled [285/389]: av1_grain
 15.86s  INFO Compiled [286/389]: cfb
 16.11s  INFO Compiled [287/389]: rand
 16.12s  INFO Compiled [288/389]: httparse
 16.14s  INFO Compiled [289/389]: dispatch2
 16.18s  INFO Compiled [290/389]: native_tls
 16.22s  INFO Compiled [291/389]: png
 16.26s  INFO Compiled [292/389]: build-script-build
 16.28s  INFO Compiled [293/389]: build-script-build
 16.31s  INFO Compiled [294/389]: const_serialize
 16.39s  INFO Compiled [295/389]: utf8
 16.39s  INFO Compiled [296/389]: avif_serialize
 16.46s  INFO Compiled [297/389]: bit_field
 16.50s  INFO Compiled [298/389]: lebe
 16.51s  INFO Compiled [299/389]: color_quant
 16.62s  INFO Compiled [300/389]: build-script-build
 16.64s  INFO Compiled [301/389]: tokio_macros
 16.68s  INFO Compiled [302/389]: zune_inflate
 16.69s  INFO Compiled [303/389]: lazy_static
 16.71s  INFO Compiled [304/389]: fax
 16.74s  INFO Compiled [305/389]: build-script-build
 16.76s  INFO Compiled [306/389]: byteorder_lite
 16.80s  INFO Compiled [307/389]: block
 16.83s  INFO Compiled [308/389]: bytemuck
 16.86s  INFO Compiled [309/389]: rustc_hash
 16.88s  INFO Compiled [310/389]: rgb
 16.98s  INFO Compiled [311/389]: sledgehammer_bindgen_macro
 16.99s  INFO Compiled [312/389]: build-script-build
 17.03s  INFO Compiled [313/389]: const_serialize
 17.05s  INFO Compiled [314/389]: sledgehammer_utils
 17.19s  INFO Compiled [315/389]: qoi
 17.73s  INFO Compiled [317/389]: winnow
 17.84s  INFO Compiled [318/389]: sledgehammer_bindgen
 17.91s  INFO Compiled [319/389]: time
 18.34s  INFO Compiled [321/389]: manganis_core
 18.51s  INFO Compiled [322/389]: cocoa_foundation
 18.74s  INFO Compiled [323/389]: cookie
 18.76s  INFO Compiled [324/389]: sharded_slab
 19.14s  INFO Compiled [325/389]: data_encoding
 19.35s  INFO Compiled [327/389]: regex_syntax
 19.44s  INFO Compiled [328/389]: matchers
 20.18s  INFO Compiled [331/389]: tungstenite
 20.48s  INFO Compiled [332/389]: image_webp
 20.64s  INFO Compiled [333/389]: const_serialize
 20.82s  INFO Compiled [334/389]: gif
 20.91s  INFO Compiled [335/389]: dirs
 21.42s  INFO Compiled [336/389]: dioxus_html
 21.44s  INFO Compiled [337/389]: tiff
 21.56s  INFO Compiled [338/389]: core_graphics
 21.65s  INFO Compiled [339/389]: infer
 21.70s  INFO Compiled [340/389]: dioxus_devtools_types
 21.80s  INFO Compiled [341/389]: objc2_core_graphics
 22.09s  INFO Compiled [342/389]: core_graphics
 22.18s  INFO Compiled [343/389]: signal_hook_registry
 22.30s  INFO Compiled [344/389]: build-script-build
