  0.00s  INFO Bundling project...
 17.65s  INFO Compiled [294/318]: qoi
 17.84s  INFO Compiled [295/318]: async_lock
 17.84s  INFO Compiled [296/318]: png
 17.90s  INFO Compiled [297/318]: softbuffer
 17.94s  INFO Compiled [298/318]: skia_safe
 18.48s  INFO Compiled [299/318]: accesskit_macos
 18.67s  INFO Compiled [300/318]: pxfm
 18.96s  INFO Compiled [301/318]: rav1e
 19.26s  INFO Compiled [302/318]: exr
 20.94s  INFO Compiled [303/318]: moxcms
 22.89s  INFO Compiled [304/318]: ravif
 25.37s  INFO Compiled [305/318]: image
 28.14s  INFO Compiled [306/318]: mundy
 28.59s  INFO Compiled [307/318]: rfd
 29.22s  INFO Compiled [308/318]: freya_clipboard
 29.23s  INFO Compiled [309/318]: freya_animation
 29.32s  INFO Compiled [310/318]: freya_sdk
 29.40s  INFO Compiled [311/318]: objc2_app_kit
 29.72s  INFO Compiled [312/318]: freya_edit
 30.22s  INFO Compiled [313/318]: freya_core
 31.07s  INFO Compiled [314/318]: freya
 31.35s  INFO Compiled [315/318]: freya_performance_plugin
 33.05s  INFO Compiled [316/318]: freya_winit
 33.95s  INFO Compiled [317/318]: freya_components
 34.50s  INFO Compiled [318/318]: freya-app
 34.50s  INFO Bundling app...
 34.52s  INFO Running package bundler...
 34.52s  INFO Creating macOS .app bundle at /Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/freya-app/target/dx/freya-app/bundle/macos/macos/FreyaApp.app
 34.52s  INFO Copying existing .icns file: /Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/freya-app/icon.icns
 34.53s  INFO Creating DMG at /Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/freya-app/target/dx/freya-app/bundle/macos/macos/FreyaApp_0.1.0_aarch64.dmg
created: /Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/freya-app/target/dx/freya-app/bundle/macos/macos/FreyaApp_0.1.0_aarch64.dmg
 39.58s  INFO DMG created at /Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/freya-app/target/dx/freya-app/bundle/macos/macos/FreyaApp_0.1.0_aarch64.dmg
 39.58s  INFO Bundled: /Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/freya-app/target/dx/freya-app/bundle/macos/macos/FreyaApp.app
 39.58s  INFO Bundled: /Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/freya-app/target/dx/freya-app/bundle/macos/macos/FreyaApp_0.1.0_aarch64.dmg
Bundled 2 bundles:
/Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/freya-app/target/dx/freya-app/bundle/macos/macos/FreyaApp.app
/Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/freya-app/target/dx/freya-app/bundle/macos/macos/FreyaApp_0.1.0_aarch64.dmg
real 39.60
user 277.76
sys 14.86
