  0.00s  INFO Bundling project...
  9.41s  INFO Compiled [262/544]: indexmap
  9.42s  INFO Compiled [263/544]: hashbrown
  9.58s  INFO Compiled [265/544]: block2
  9.59s  INFO Compiled [266/544]: read_fonts
  9.78s  INFO Compiled [267/544]: objc2_cloud_kit
  9.86s  INFO Compiled [268/544]: objc2_core_image
  9.88s  INFO Compiled [269/544]: resvg
  9.93s  INFO Compiled [270/544]: icu_locale
  9.99s  INFO Compiled [271/544]: tiny_skia_path
 10.06s  INFO Compiled [272/544]: build-script-build
 10.06s  INFO Compiled [273/544]: derive_more
 10.09s  INFO Compiled [274/544]: objc2_core_video
 10.14s  INFO Compiled [275/544]: no_std_io2
 10.18s  INFO Compiled [276/544]: profiling_procmacros
 10.20s  INFO Compiled [277/544]: arg_enum_proc_macro
 10.21s  INFO Compiled [278/544]: objc2_core_data
 10.30s  INFO Compiled [279/544]: unicode_properties
 10.39s  INFO Compiled [280/544]: build-script-build
 10.39s  INFO Compiled [281/544]: build-script-build
 10.41s  INFO Compiled [282/544]: euclid
 10.45s  INFO Compiled [283/544]: dispatch
 10.49s  INFO Compiled [284/544]: y4m
 10.51s  INFO Compiled [285/544]: unicode_script
 10.54s  INFO Compiled [286/544]: unicode_ccc
 10.54s  INFO Compiled [287/544]: skrifa
 10.58s  INFO Compiled [288/544]: htmlparser
 10.61s  INFO Compiled [289/544]: toml_writer
 10.62s  INFO Compiled [290/544]: toml_datetime
 10.64s  INFO Compiled [291/544]: siphasher
 10.65s  INFO Compiled [292/544]: icu_locale_core
 10.71s  INFO Compiled [293/544]: build-script-build
 10.71s  INFO Compiled [294/544]: zune_core
 10.71s  INFO Compiled [295/544]: unicode_bidi_mirroring
 10.72s  INFO Compiled [296/544]: pastey
 10.73s  INFO Compiled [297/544]: byteorder_lite
 11.00s  INFO Compiled [299/544]: i_slint_common
 11.21s  INFO Compiled [300/544]: toml_edit
 11.22s  INFO Compiled [301/544]: kurbo
 11.24s  INFO Compiled [302/544]: lyon_geom
 11.32s  INFO Compiled [303/544]: zerocopy
 11.46s  INFO Compiled [305/544]: nom
 11.48s  INFO Compiled [306/544]: half
 11.50s  INFO Compiled [307/544]: av_scenechange
 11.59s  INFO Compiled [308/544]: zune_jpeg
 11.62s  INFO Compiled [309/544]: memoffset
 11.69s  INFO Compiled [311/544]: bitstream_io
 11.72s  INFO Compiled [312/544]: svgtypes
 11.83s  INFO Compiled [313/544]: av1_grain
 11.83s  INFO Compiled [314/544]: icu_normalizer
 11.92s  INFO Compiled [315/544]: profiling
 11.96s  INFO Compiled [316/544]: maybe_rayon
 12.09s  INFO Compiled [317/544]: paste
