  0.00s  INFO Bundling project...
 15.67s  INFO Compiled [316/630]: deflate64
 15.67s  INFO Compiled [317/630]: build-script-build
 15.69s  INFO Compiled [318/630]: build-script-build
 15.77s  INFO Compiled [319/630]: itertools
 15.78s  INFO Compiled [320/630]: build-script-build
 15.82s  INFO Compiled [321/630]: built
 15.84s  INFO Compiled [322/630]: build-script-build
 15.84s  INFO Compiled [323/630]: bindgen
 15.85s  INFO Compiled [324/630]: ryu
 15.85s  INFO Compiled [325/630]: build-script-build
 15.95s  INFO Compiled [326/630]: build-script-build
 15.98s  INFO Compiled [327/630]: objc2_foundation
 16.01s  INFO Compiled [328/630]: webpki
 16.03s  INFO Compiled [329/630]: compression_codecs
 16.06s  INFO Compiled [331/630]: strict_num
 16.31s  INFO Compiled [333/630]: winnow
 16.54s  INFO Compiled [335/630]: form_urlencoded
 16.70s  INFO Compiled [336/630]: build-script-build
 16.74s  INFO Compiled [338/630]: h2
 16.75s  INFO Compiled [339/630]: getrandom
 16.76s  INFO Compiled [340/630]: getrandom
 16.78s  INFO Compiled [341/630]: aligned
 16.93s  INFO Compiled [342/630]: zmij
 17.46s  INFO Compiled [345/630]: toml_edit
 17.66s  INFO Compiled [347/630]: regex_automata
 17.81s  INFO Compiled [349/630]: globset
 17.85s  INFO Compiled [350/630]: sha2
 17.88s  INFO Compiled [351/630]: idna_adapter
 17.89s  INFO Compiled [352/630]: build-script-build
 17.95s  INFO Compiled [354/630]: slotmap
 17.97s  INFO Compiled [355/630]: rust_embed_utils
 18.01s  INFO Compiled [356/630]: rustix
 18.10s  INFO Compiled [357/630]: build-script-build
 18.11s  INFO Compiled [358/630]: zerocopy
 18.19s  INFO Compiled [359/630]: num_traits
 18.20s  INFO Compiled [360/630]: profiling
 18.21s  INFO Compiled [361/630]: lyon_geom
 18.23s  INFO Compiled [362/630]: futures_executor
 18.28s  INFO Compiled [363/630]: ref_cast_impl
 18.32s  INFO Compiled [364/630]: no_std_io2
 18.41s  INFO Compiled [365/630]: build-script-build
 18.41s  INFO Compiled [366/630]: build-script-build
 18.42s  INFO Compiled [367/630]: arg_enum_proc_macro
 18.43s  INFO Compiled [368/630]: build-script-build
 18.45s  INFO Compiled [369/630]: leak
 18.49s  INFO Compiled [370/630]: event_listener
 18.56s  INFO Compiled [371/630]: build-script-build
 18.58s  INFO Compiled [372/630]: serde_derive_internals
 18.59s  INFO Compiled [373/630]: y4m
 18.60s  INFO Compiled [374/630]: arrayref
 18.62s  INFO Compiled [375/630]: bit_vec
 18.65s  INFO Compiled [376/630]: scopeguard
 18.67s  INFO Compiled [377/630]: build-script-build
 18.70s  INFO Compiled [378/630]: quick_error
 18.71s  INFO Compiled [379/630]: pastey
 18.73s  INFO Compiled [380/630]: unicode_width
 18.74s  INFO Compiled [381/630]: tinyvec_macros
 18.75s  INFO Compiled [382/630]: unicode_width
 18.76s  INFO Compiled [383/630]: termcolor
 18.76s  INFO Compiled [384/630]: bit_vec
 18.81s  INFO Compiled [385/630]: security_framework
 18.83s  INFO Compiled [386/630]: foldhash
 18.86s  INFO Compiled [387/630]: fastrand
 18.88s  INFO Compiled [388/630]: foldhash
 18.93s  INFO Compiled [389/630]: unicase
 18.93s  INFO Compiled [390/630]: termcolor
 19.00s  INFO Compiled [391/630]: bit_set
 19.01s  INFO Compiled [392/630]: tempfile
 19.03s  INFO Compiled [393/630]: base64
 19.08s  INFO Compiled [394/630]: hashbrown
 19.17s  INFO Compiled [395/630]: tinyvec
 19.20s  INFO Compiled [396/630]: hashbrown
 19.24s  INFO Compiled [397/630]: codespan_reporting
 19.29s  INFO Compiled [398/630]: lock_api
 19.37s  INFO Compiled [399/630]: bit_set
 19.41s  INFO Compiled [400/630]: objc2_quartz_core
 19.60s  INFO Compiled [402/630]: codespan_reporting
 19.63s  INFO Compiled [403/630]: leaky_cow
 19.75s  INFO Compiled [404/630]: ttf_parser
 19.85s  INFO Compiled [406/630]: nom
 19.87s  INFO Compiled [407/630]: objc2_metal
 19.90s  INFO Compiled [408/630]: av_scenechange
 19.93s  INFO Compiled [409/630]: async_channel
 19.95s  INFO Compiled [410/630]: schemars_derive
 20.03s  INFO Compiled [411/630]: tiny_skia_path
 20.08s  INFO Compiled [412/630]: hyper
 20.09s  INFO Compiled [413/630]: half
 20.12s  INFO Compiled [415/630]: futures
 20.15s  INFO Compiled [416/630]: bitstream_io
 20.30s  INFO Compiled [417/630]: lyon_path
 20.38s  INFO Compiled [419/630]: rust_embed_impl
 20.44s  INFO Compiled [420/630]: tokio_rustls
 20.47s  INFO Compiled [421/630]: hyper_util
 20.73s  INFO Compiled [423/630]: rust_embed_utils
 20.73s  INFO Compiled [424/630]: nix
 20.77s  INFO Compiled [425/630]: thiserror
 20.84s  INFO Compiled [426/630]: toml
 20.85s  INFO Compiled [427/630]: ref_cast
 20.88s  INFO Compiled [428/630]: system_configuration_sys
 21.01s  INFO Compiled [429/630]: parking_lot_core
 21.02s  INFO Compiled [430/630]: rustls_native_certs
 21.12s  INFO Compiled [431/630]: av1_grain
 21.15s  INFO Compiled [433/630]: maybe_rayon
 21.19s  INFO Compiled [434/630]: core_graphics_types
 21.23s  INFO Compiled [435/630]: rustix
 21.24s  INFO Compiled [436/630]: async_compression
 21.30s  INFO Compiled [437/630]: idna
 21.44s  INFO Compiled [438/630]: rgb
 21.45s  INFO Compiled [439/630]: core_graphics
 21.66s  INFO Compiled [442/630]: kv_log_macro
 21.67s  INFO Compiled [443/630]: cgl
 21.69s  INFO Compiled [444/630]: syn
 21.73s  INFO Compiled [445/630]: dirs_sys
 21.74s  INFO Compiled [446/630]: async_fs
 21.79s  INFO Compiled [447/630]: memmap2
 21.81s  INFO Compiled [448/630]: num_derive
 21.87s  INFO Compiled [449/630]: sync_wrapper
 21.87s  INFO Compiled [450/630]: proc_macro_error_attr2
 21.88s  INFO Compiled [451/630]: simd_helpers
 21.89s  INFO Compiled [453/630]: build-script-build
 21.92s  INFO Compiled [454/630]: option_ext
 21.93s  INFO Compiled [455/630]: rustc_hash
 21.95s  INFO Compiled [456/630]: unicode_ident
 21.96s  INFO Compiled [457/630]: hexf_parse
 21.96s  INFO Compiled [458/630]: tower_layer
 21.96s  INFO Compiled [459/630]: arrayvec
 21.97s  INFO Compiled [460/630]: waker_fn
 21.99s  INFO Compiled [461/630]: debug_unreachable
 21.99s  INFO Compiled [462/630]: rustc_hash
 22.06s  INFO Compiled [463/630]: imgref
 22.10s  INFO Compiled [464/630]: zune_core
 22.11s  INFO Compiled [465/630]: async_net
 22.17s  INFO Compiled [466/630]: unicode_ccc
 22.17s  INFO Compiled [467/630]: async_global_executor
 22.18s  INFO Compiled [468/630]: strum
 22.18s  INFO Compiled [469/630]: strum
 22.18s  INFO Compiled [470/630]: dtor_proc_macro
 22.19s  INFO Compiled [471/630]: home
 22.21s  INFO Compiled [472/630]: unicode_properties
 22.22s  INFO Compiled [473/630]: pin_utils
 22.22s  INFO Compiled [474/630]: mime
 22.25s  INFO Compiled [475/630]: rustc_hash
 22.25s  INFO Compiled [476/630]: hexf_parse
 22.26s  INFO Compiled [477/630]: unicode_bidi_mirroring
 22.27s  INFO Compiled [478/630]: unicode_script
 22.28s  INFO Compiled [479/630]: dyn_clone
 22.30s  INFO Compiled [480/630]: gpui_collections
 22.30s  INFO Compiled [481/630]: fastrand
 22.33s  INFO Compiled [482/630]: siphasher
